epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.68714,2.29433,3.43178,2.0844,0.02666,0.81416,0.42385,0.17239,1.48911,3.06831,1.32111,0.00021671,0.00021671,0.00021671
2,6.67131,1.16219,1.92128,1.14616,0.62318,0.32675,0.4668,0.29007,1.07035,2.40897,1.05777,0.000445634,0.000445634,0.000445634
3,8.66178,1.02373,1.4221,1.04929,0.95395,0.52042,0.72438,0.50963,0.81589,1.71744,0.98695,0.000669937,0.000669937,0.000669937
4,10.5329,0.90194,1.22799,1.01962,0.9662,0.43709,0.65446,0.44895,0.87908,1.62087,1.02488,0.00088962,0.00088962,0.00088962
5,12.4552,0.93782,1.26392,1.03662,0.97247,0.42304,0.53539,0.37205,0.97371,1.73406,1.02893,0.00110468,0.00110468,0.00110468
6,14.1691,0.86397,1.11563,1.00998,0.44781,0.48343,0.52773,0.4135,0.79888,1.3124,0.98355,0.00131512,0.00131512,0.00131512
7,16.0227,0.88433,1.17522,1.04304,0.47981,0.86757,0.54005,0.42042,0.83336,0.90366,1.00859,0.00152094,0.00152094,0.00152094
8,18.021,0.89047,1.08131,1.01783,0.48924,0.9442,0.5396,0.39572,0.91551,0.95617,1.14248,0.00155148,0.00155148,0.00155148
9,20.0562,0.89765,1.03157,1.001,0.42051,0.66158,0.53711,0.43376,0.78492,0.94671,1.00906,0.00153497,0.00153497,0.00153497
10,22.0886,0.92511,1.07083,1.0199,0.41689,0.61111,0.53367,0.41169,0.86504,0.94752,1.00345,0.00151847,0.00151847,0.00151847
11,23.9678,0.94802,1.09736,0.99516,0.35478,0.58333,0.56081,0.42817,0.8463,0.91412,0.99612,0.00150197,0.00150197,0.00150197
12,25.8765,0.90701,1.02651,1.01153,0.42441,0.69444,0.5928,0.47257,0.73224,0.8834,0.99418,0.00148546,0.00148546,0.00148546
13,27.7667,0.86072,0.99804,1.02014,0.61221,0.86111,0.70104,0.54585,0.72944,0.96741,1.00732,0.00146896,0.00146896,0.00146896
14,29.7,0.80268,0.97864,0.97295,0.61221,0.86111,0.70104,0.54585,0.72944,0.96741,1.00732,0.00145246,0.00145246,0.00145246
15,31.5788,0.8273,1.0437,1.03414,0.607,0.88889,0.68941,0.55408,0.65184,0.82928,0.96591,0.00143595,0.00143595,0.00143595
16,33.4314,0.78189,0.924,1.00067,0.65257,0.86111,0.70732,0.51879,0.77631,0.84469,1.04382,0.00141945,0.00141945,0.00141945
17,35.349,0.80407,0.91079,0.99294,0.89788,0.70462,0.8156,0.58174,0.73211,0.77409,1.00855,0.00140295,0.00140295,0.00140295
18,37.2658,0.79263,0.88987,0.97519,0.86685,0.7072,0.79187,0.61083,0.67621,0.7238,0.94594,0.00138644,0.00138644,0.00138644
19,39.0892,0.77236,0.92366,1.00124,0.67194,0.91667,0.77644,0.6273,0.67316,0.69285,0.94985,0.00136994,0.00136994,0.00136994
20,41.023,0.76714,0.94768,0.99976,0.68152,0.91069,0.7937,0.6446,0.64291,0.78634,0.94702,0.00135344,0.00135344,0.00135344
21,42.9446,0.73967,0.90003,0.9468,0.81703,0.88185,0.85011,0.69029,0.63796,0.71373,0.95292,0.00133693,0.00133693,0.00133693
22,44.8815,0.72683,0.84475,0.97007,0.81703,0.88185,0.85011,0.69029,0.63796,0.71373,0.95292,0.00132043,0.00132043,0.00132043
23,46.8323,0.70448,0.87485,0.94298,0.8382,0.88889,0.91229,0.74037,0.65497,0.61875,0.95129,0.00130393,0.00130393,0.00130393
24,48.7444,0.71053,0.82918,0.94277,0.90212,0.91667,0.94525,0.76095,0.6628,0.61929,0.95377,0.00128742,0.00128742,0.00128742
25,50.6773,0.72314,0.80409,0.93853,0.95671,0.88889,0.94926,0.78461,0.63508,0.58686,0.94639,0.00127092,0.00127092,0.00127092
26,52.8323,0.74621,0.78711,0.95545,0.91824,0.89779,0.95343,0.76137,0.7521,0.61254,0.9692,0.00125442,0.00125442,0.00125442
27,54.764,0.77765,0.82472,0.97025,0.87043,0.91354,0.94641,0.78616,0.71344,0.64361,0.97789,0.00123791,0.00123791,0.00123791
28,56.5739,0.77675,0.81267,0.98212,0.86684,0.94434,0.95333,0.78431,0.66771,0.63951,0.96377,0.00122141,0.00122141,0.00122141
29,58.4934,0.75665,0.77769,0.94539,0.97584,0.86111,0.95837,0.7983,0.6451,0.70214,0.96664,0.00120491,0.00120491,0.00120491
30,60.353,0.73965,0.75249,0.93268,0.97584,0.86111,0.95837,0.7983,0.6451,0.70214,0.96664,0.0011884,0.0011884,0.0011884
