epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.87751,1.32013,9.05225,0.94554,0.00147,0.5,0.13312,0.09078,1.91656,6.16342,0.91142,0.00048343,0.00048343,0.00048343
2,10.3182,1.44183,6.0857,0.90887,0.00182,0.58516,0.19101,0.08689,1.4243,4.49084,0.87253,0.000973793,0.000973793,0.000973793
3,14.1315,1.62287,6.61308,0.94303,0.00287,0.92308,0.03972,0.02327,1.16319,4.89172,0.87072,0.00145425,0.00145425,0.00145425
4,17.5564,1.31389,6.29158,0.87242,0.40998,0.48841,0.56417,0.38364,1.39559,3.26549,0.93013,0.00161749,0.00161749,0.00161749
5,21.2765,1.37153,5.24775,0.95509,0.87711,0.69771,0.89468,0.50654,1.40261,2.48576,0.94947,0.00160099,0.00160099,0.00160099
6,24.76,1.30713,4.61567,0.93908,0.84689,0.93694,0.94376,0.6072,1.428,2.29076,0.94567,0.00158448,0.00158448,0.00158448
7,28.3371,1.3489,4.29367,0.94895,0.96642,0.93462,0.97896,0.64721,1.42209,2.08917,0.92921,0.00156798,0.00156798,0.00156798
8,31.9687,1.11655,3.5184,0.9301,0.8693,0.91455,0.95388,0.53418,1.52729,2.01615,0.97279,0.00155148,0.00155148,0.00155148
9,35.5865,1.22589,3.59829,0.99941,0.91196,0.94625,0.96278,0.56569,1.42936,1.99034,0.93095,0.00153497,0.00153497,0.00153497
10,39.1845,1.072,2.78964,0.97409,0.98224,0.79529,0.88327,0.59568,1.33211,1.97157,0.89564,0.00151847,0.00151847,0.00151847
11,42.7899,1.07378,3.08583,0.92258,0.90603,0.80769,0.92779,0.57116,1.30359,1.87996,0.8922,0.00150197,0.00150197,0.00150197
12,46.6786,0.99593,2.57408,0.91253,0.94307,0.95656,0.98528,0.61077,1.26004,1.66735,0.89458,0.00148546,0.00148546,0.00148546
13,50.3144,1.14656,3.22466,0.98327,0.9551,0.98374,0.9925,0.67202,1.11866,2.07045,0.86961,0.00146896,0.00146896,0.00146896
14,53.7844,1.15029,3.47749,0.86917,1,0.98453,0.995,0.72061,1.05814,1.68166,0.86036,0.00145246,0.00145246,0.00145246
15,57.352,1.02058,2.64855,0.86148,0.99548,0.9807,0.995,0.66119,1.21324,1.74603,0.87375,0.00143595,0.00143595,0.00143595
16,61.043,1.08261,2.95238,0.88939,0.99509,0.97664,0.995,0.66379,1.18257,1.7351,0.87345,0.00141945,0.00141945,0.00141945
17,64.6347,0.97924,2.38307,0.84382,0.95945,1,0.995,0.66804,1.13392,1.73096,0.85989,0.00140295,0.00140295,0.00140295
18,68.2477,0.96033,1.86795,0.95374,0.98317,1,0.995,0.67374,1.07854,1.48688,0.85194,0.00138644,0.00138644,0.00138644
19,71.737,0.95847,2.46961,0.88905,0.99617,0.99792,0.995,0.66238,1.18496,1.57113,0.87896,0.00136994,0.00136994,0.00136994
20,75.0429,1.17397,2.67311,0.91458,0.99412,0.98517,0.995,0.66796,1.19792,1.80173,0.8786,0.00135344,0.00135344,0.00135344
21,78.9342,0.95335,1.80363,0.88197,0.9694,0.94995,0.9925,0.6081,1.52348,1.79601,0.91548,0.00133693,0.00133693,0.00133693
22,82.6126,1.28421,2.28733,0.88704,0.96905,0.93309,0.99033,0.57756,1.61766,1.84993,0.92214,0.00132043,0.00132043,0.00132043
23,86.2344,0.95923,2.25586,0.84537,0.95347,0.94132,0.9925,0.66876,1.2988,1.42518,0.88528,0.00130393,0.00130393,0.00130393
24,89.7451,1.12694,2.47457,0.8901,0.91859,0.99462,0.98964,0.66446,1.13196,1.2414,0.87267,0.00128742,0.00128742,0.00128742
25,93.812,1.05935,2.15642,0.85937,0.87086,0.92308,0.98167,0.66376,1.12215,1.26735,0.85909,0.00127092,0.00127092,0.00127092
26,97.5974,1.03498,2.07281,0.85007,0.96739,0.98651,0.995,0.67051,1.03837,0.89692,0.86907,0.00125442,0.00125442,0.00125442
27,101.183,0.93997,2.00673,0.84096,0.98721,1,0.995,0.64961,1.2246,1.00824,0.87018,0.00123791,0.00123791,0.00123791
28,104.785,1.01811,1.64906,0.91323,0.95828,1,0.995,0.6568,1.20535,0.76449,0.88676,0.00122141,0.00122141,0.00122141
29,108.345,1.031,1.99512,0.89229,0.96905,0.99475,0.995,0.60198,1.22736,0.80522,0.89638,0.00120491,0.00120491,0.00120491
30,111.803,1.0778,2.41812,0.81871,0.97338,0.99693,0.995,0.6121,1.20419,0.81212,0.88432,0.0011884,0.0011884,0.0011884
31,115.56,0.86024,1.37421,0.89714,0.99492,1,0.995,0.67593,1.08847,0.77596,0.86297,0.0011719,0.0011719,0.0011719
32,119.056,1.01552,1.99155,0.85221,0.97323,1,0.995,0.65937,1.24526,0.69006,0.87589,0.0011554,0.0011554,0.0011554
33,122.499,0.90599,1.72141,0.84936,0.97251,0.95355,0.9925,0.64034,1.36907,0.71458,0.88545,0.00113889,0.00113889,0.00113889
34,126.112,0.86581,1.37739,0.84862,0.97723,0.98955,0.995,0.64685,1.24886,0.6944,0.86878,0.00112239,0.00112239,0.00112239
35,129.651,0.75835,1.38078,0.84213,0.94411,1,0.9925,0.69873,1.12922,0.68287,0.85977,0.00110589,0.00110589,0.00110589
36,133.059,0.92108,1.40887,0.84423,0.96652,1,0.995,0.67047,1.14544,0.61891,0.86279,0.00108938,0.00108938,0.00108938
37,136.602,1.02507,1.21054,0.84073,0.97984,1,0.995,0.68658,1.07273,0.69658,0.8645,0.00107288,0.00107288,0.00107288
38,140.26,0.91125,1.20482,0.8544,0.98587,1,0.995,0.67506,1.08835,0.74111,0.85736,0.00105638,0.00105638,0.00105638
39,143.901,0.89423,1.10271,0.84046,0.98551,1,0.995,0.68886,1.19384,0.67802,0.85304,0.00103987,0.00103987,0.00103987
40,147.523,0.93486,1.40139,0.79837,0.98319,1,0.995,0.7233,1.07715,0.55514,0.84362,0.00102337,0.00102337,0.00102337
41,151.113,0.81284,1.24941,0.84039,0.98139,1,0.995,0.66565,1.12216,0.5629,0.85473,0.00100687,0.00100687,0.00100687
42,154.581,1.10833,1.25244,0.90007,0.98447,1,0.995,0.65747,1.11162,0.58959,0.85072,0.000990365,0.000990365,0.000990365
43,158.179,0.82979,1.06657,0.83132,0.97774,1,0.995,0.71751,1.105,0.54764,0.84758,0.000973861,0.000973861,0.000973861
44,161.656,0.91088,1.31972,0.85809,0.98542,1,0.995,0.70921,1.07143,0.54779,0.85343,0.000957358,0.000957358,0.000957358
