epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.3532,1.05559,7.66471,0.91885,0.00156,0.42857,0.00179,0.00131,1.07045,4.75897,0.84709,0.00040008,0.00040008,0.00040008
2,10.6726,1.3076,8.72759,0.83795,0.00169,0.5,0.00552,0.00294,1.40318,4.69749,0.88368,0.000808743,0.000808743,0.000808743
3,13.833,1.13423,5.19437,0.9573,0.40206,0.14728,0.33445,0.26479,1.01834,5.50106,0.93581,0.00120916,0.00120916,0.00120916
4,16.9205,1.2057,5.86242,0.93697,0.00162,0.42857,0.00788,0.00589,1.22017,6.23129,0.94327,0.00160132,0.00160132,0.00160132
5,19.8939,1.26122,3.67065,0.97475,0.56017,0.53455,0.67987,0.45559,1.4584,2.73784,1.02084,0.00160099,0.00160099,0.00160099
6,23.0297,1.1521,3.41088,1.00504,0.83175,0.8033,0.76653,0.50188,1.19104,2.14876,0.97705,0.00158448,0.00158448,0.00158448
7,26.0088,1.02213,3.58247,0.96231,0.73035,0.77679,0.76652,0.47806,1.32564,2.04139,0.96632,0.00156798,0.00156798,0.00156798
8,29.2923,1.12874,3.30035,0.97873,0.46364,0.559,0.58024,0.40609,1.35666,2.78238,0.96164,0.00155148,0.00155148,0.00155148
9,32.5243,1.02008,4.68529,0.90246,0.77082,0.8125,0.7472,0.50907,1.39211,1.71545,0.96105,0.00153497,0.00153497,0.00153497
10,35.7574,1.20959,3.32411,0.98418,0.86527,0.8125,0.82929,0.55294,1.11386,1.65786,0.91652,0.00151847,0.00151847,0.00151847
11,38.7885,1.01053,3.84537,0.91756,0.98376,0.80816,0.84349,0.58068,1.16023,1.48416,0.90408,0.00150197,0.00150197,0.00150197
12,41.8187,0.91894,2.58498,0.92043,0.66232,0.75,0.5554,0.34594,1.19957,7.55509,0.91342,0.00148546,0.00148546,0.00148546
13,44.93,1.119,3.40798,0.92796,0.87221,0.83051,0.8794,0.54432,1.29729,1.67354,0.9763,0.00146896,0.00146896,0.00146896
14,48.1379,0.89119,2.18312,0.86813,0.82602,0.82333,0.90286,0.61858,1.16893,1.84683,0.93301,0.00145246,0.00145246,0.00145246
15,51.1713,0.87198,2.14456,0.90237,0.80946,0.93505,0.85795,0.56745,1.16167,1.46409,0.9178,0.00143595,0.00143595,0.00143595
16,54.2622,0.87385,2.13027,0.92883,0.70524,0.875,0.72421,0.51408,1.07943,1.41895,0.91914,0.00141945,0.00141945,0.00141945
17,57.5107,0.99579,2.81702,0.89432,0.92843,0.78914,0.88629,0.59813,1.09206,1.46301,0.91131,0.00140295,0.00140295,0.00140295
18,60.6453,1.05727,2.174,0.96094,0.74545,0.9375,0.79666,0.52722,1.03529,2.16906,0.90577,0.00138644,0.00138644,0.00138644
19,63.8712,1.03048,2.10466,0.94142,0.81888,0.9375,0.83375,0.62335,0.91569,1.88463,0.88523,0.00136994,0.00136994,0.00136994
20,66.9103,1.01646,2.85591,0.90277,0.65912,0.9447,0.73162,0.5465,0.93433,2.84861,0.88691,0.00135344,0.00135344,0.00135344
21,70.0128,0.94729,2.40101,0.95376,0.3899,0.6875,0.39614,0.32928,1.00141,9.85908,0.89041,0.00133693,0.00133693,0.00133693
22,73.2638,0.87356,1.74651,0.90627,0.70163,1,0.74625,0.51951,1.14305,2.1721,0.92198,0.00132043,0.00132043,0.00132043
23,76.5356,0.98872,2.10771,0.94863,0.82121,1,0.878,0.58031,1.1088,1.45543,0.90333,0.00130393,0.00130393,0.00130393
24,79.5415,0.93492,2.18392,0.89159,0.82695,0.86995,0.86214,0.60845,1.06923,1.56966,0.86816,0.00128742,0.00128742,0.00128742
25,82.6441,0.89683,1.80247,0.86654,0.87405,0.87116,0.8836,0.64069,1.07373,1.40841,0.87259,0.00127092,0.00127092,0.00127092
26,85.6933,0.93182,2.25826,0.84322,0.97829,0.92468,0.98833,0.70165,0.91958,1.25193,0.87842,0.00125442,0.00125442,0.00125442
27,88.7997,0.77538,2.42772,0.80542,0.95512,0.96558,0.995,0.68691,0.88133,1.20185,0.87453,0.00123791,0.00123791,0.00123791
28,91.8808,0.78746,1.50606,0.85996,0.97623,0.99831,0.995,0.71062,0.88851,0.96561,0.86436,0.00122141,0.00122141,0.00122141
29,95.0017,0.79445,1.86347,0.8468,0.99415,0.99751,0.995,0.67039,0.97815,1.00547,0.86957,0.00120491,0.00120491,0.00120491
30,97.9379,0.83198,1.41242,0.87533,0.87695,1,0.995,0.69939,0.95428,1.12227,0.87366,0.0011884,0.0011884,0.0011884
31,101.032,0.82455,1.37089,0.90828,0.9404,1,0.995,0.667,0.94729,0.71338,0.8594,0.0011719,0.0011719,0.0011719
32,104.11,0.7811,1.62899,0.85041,0.94038,1,0.995,0.63258,1.03999,0.69598,0.86538,0.0011554,0.0011554,0.0011554
33,107.211,0.77358,1.63912,0.83504,0.90965,0.92974,0.97051,0.60569,1.06191,0.80242,0.87024,0.00113889,0.00113889,0.00113889
34,110.462,0.88669,1.30103,0.86439,0.90943,0.92588,0.92699,0.60366,1.06638,0.78991,0.86888,0.00112239,0.00112239,0.00112239
35,113.459,0.82851,1.77579,0.87201,0.85588,0.92569,0.91637,0.61922,0.96078,0.65401,0.85531,0.00110589,0.00110589,0.00110589
36,116.379,0.93444,1.64809,0.889,0.97059,0.96971,0.995,0.70487,0.88572,0.5649,0.8426,0.00108938,0.00108938,0.00108938
37,119.516,0.85386,1.70351,0.87374,0.92928,0.99168,0.995,0.66223,0.95365,0.51534,0.85623,0.00107288,0.00107288,0.00107288
38,122.786,0.82552,1.20253,0.8734,0.96974,0.99344,0.995,0.66233,0.97947,0.54934,0.85899,0.00105638,0.00105638,0.00105638
39,125.93,0.71407,1.01502,0.84479,0.9708,0.99473,0.995,0.67469,0.99562,0.57804,0.86471,0.00103987,0.00103987,0.00103987
40,129.133,0.83248,1.31741,0.86487,0.96569,1,0.995,0.68424,1.00307,0.60905,0.86194,0.00102337,0.00102337,0.00102337
41,132.256,0.94664,1.62712,0.86624,0.98793,1,0.995,0.68279,0.99493,0.55665,0.86596,0.00100687,0.00100687,0.00100687
